path,text
SixFeet/6ft_header.gif,Stickers and designs promoting social distancing popping in and out.
SixFeet/6ft_header_mobile.gif,Stickers and designs promoting social distancing popping in and out.
SixFeet/img/6ft_MaskGang.png,Animal heads on human bodies wearing face masks and walking in a line.
SixFeet/img/6ft_YourMaskisHot.png,"A person in a store reaches down to get something. On the floor under them is a sticker that says ""Your mask is hot. Thank you for keeping us safe."""
SixFeet/img/6ft_SixFeetApart.png,A person standing in front of a floor sticker on the floor that says Six Feet Apart.
SixFeet/img/6ft_TogetherAtHeart.png,"A person standing in front of a floor sticker that says ""Together at heart. 6 feet apart, Thank you"""
SixFeet/6ft_RainbowStickers.gif,"A circle of stickers that are all different colors. They all say ""Wait here. Stay six feet apart. Repeat"""
SixFeet/img/6ft_Store.png,"The interior of a cafe. Stickers on the floor are visible, distanced out to represent where customers should stand to respect social distancing."
SixFeet/img/6ft_SocialDistancingPile.png,A pile of stickers that all promote social distancing and wearing masks.
SixFeet/img/6ft_SocialDistancingClubFloor.png,"Only the shoes are visible of a person in front of a sticker that says ""Social distancing club. 2020-202X?"""
SixFeet/img/6ft_Wedding.png,"The shoes and legs of a couple at their wedding in front of a floor sticker that says ""Together at heart. 6 feet apart Thank you"""
SixFeet/img/6ft_Windows.png,A storefront. Stickers on the ground outside promote social distancing and a sticker on the window of the store promotes mask wearing.
SixFeet/6ft_FunFacts.gif,"A looped animation of floor sticker designs. This series of stickers all include a fun fact, intended to give the person viewing them something to think about as they stand in line, six feet apart."
SixFeet/img/6ft_Backpack.png,A person holding a backpack next to a floor sticker with a fun fact on it.
SixFeet/Ticker/1.png,Way to wait. Thank you for social distancing.
SixFeet/Ticker/2.png,So close. Thank you for wearing a mask.
SixFeet/Ticker/3.png,You have arrived. Thank you for taking care of each other.
SixFeet/Ticker/4.png,Your mask is hot. Thank you for keeping us safe.
SixFeet/Ticker/5.png,Almost there. Thank you for standing 6 feet apart.
SixFeet/Ticker/6.png,Please wait here. Thank you for social distancing.
SixFeet/Ticker/7.png,Role model. Thank you for wearing a mask.
SixFeet/Ticker/8.png,Stand back to stand up. Thank you for taking care of each other.
SixFeet/Ticker/9.png,You're gonna make it. Thank you for standing 6 feet apart.
SixFeet/Ticker/10.png,Never give up. Thank you for keeping us safe.
SeeSarahDance/Hero.png,A behind the scenes photo of a group rehearsing to shoot a promotional video and visual resume for Sarah. Sarah is the founder and owner of By Hart studio.
SeeSarahDance/HeroMobile.png,A behind the scenes photo of a group rehearsing to shoot a promotional video and visual resume for Sarah. Sarah is the founder and owner of By Hart studio.
SayMore/img/01_SM_Hero_16x9.png,A group of women around a table. One of them is picking a card from Say More's collection of conversation cards.
SayMore/img/01_SM_Hero_Mobile.png,A group of women around a table. One of them is picking a card from Say More's collection of conversation cards.
SayMore/img/02_SM_BG_D.png,"Closeup of a woman in brightly colored, flower covered clothing. She is from the same group of people as before, conversing over the deck of cards."
SayMore/img/02_SM_BG_M_4x5.png,"Closeup of a woman in brightly colored, flower covered clothing. She is from the same group of people as before, conversing over the deck of cards."
SayMore/img/02_SM_Layer_Box.png,"The box design for Say More's deck of cards. The front of the box says ""Say More. Conversation cards and journaling prompts for your midlife awakening and beyond"""
SayMore/img/03_SM_3x4.png,"A woman holding one of the cards to her chest. The card asks, ""What brings you peace?"""
SayMore/img/04_SM_3x4.png,A woman taking out a deck of cards from a box.
SayMore/img/05_SM_3x4.png,A woman writing down her answer to the question prompted by one of the cards from the collection.
SayMore/img/06_SM_Writing.svg,The response to a conversation card. The past 24 hours has been really dense mentally and emotionally. My work - consulting and Black Girl's Guide to Surviving Menopause required a lot of my brain (Problem-solving and creatively)
SayMore/img/07_SM_BG_Image_D.png,A hand reaching out to take a card from the deck.
SayMore/img/07_SM_BG_Image_M.png,A deck of cards being held.
SayMore/img/07_SM_Layer_Card.png,"A conversation card. It asks, ""What is a song that makes you feel good the instant you hear it?"""
SayMore/img/08_SM_Card.png,The back of a conversation card. It has a brightly colored design and features the illustration of a woman sitting cross legged.
SayMore/img/09_SM_Card.png,"The front of a conversation card. It prompts, ""Describe the best sexual experience you've ever had in only one word. Give no further context or explanation. Let people wonder."""
SayMore/img/10_SM_Card.png,"The front of a conversation card. It prompts, ""Close your eyes and imagine yourself as a young child. What qualities do you see in your younger self? How does this compare to how you see yourself today?"""
SayMore/img/11_SM_Card.png,The back of a conversation card. It is an illustration of clouds in the sky with a woman in a brightly colored dress sitting on one of them.
SayMore/img/12_SM_Card.png,The back of a conversation card. It is an illustration a woman laying on a crescent moon with her hair flowing down and expanding.
SayMore/img/13_SM_Card.png,"The front of a conversation card. It prompts, ""Who has mothered you in your life? How do you mother yourself and others?"""
SayMore/img/14_SM_Card.png,"The front of a conversation card. It prompts, ""Name someone older than you that you aspire to be like. Why do you admire them?"""
SayMore/img/15_SM_Card.png,"The back of a conversation card. It is an illustration of a woman in a yoga tree pose, covered in vines as if at peace with the nature around her."
SayMore/img/16_SM_BG_Image_D.png,A woman holding up her journal that she wrote in response to Say More's journaling prompts.
SayMore/img/16_SM_BG_Image_M.png,A woman holding up her journal that she wrote in response to Say More's journaling prompts.
SayMore/img/16_SM_Layer_Phone.png,"A screenshot of the Kindra mobile app. The focus is on an article titled ""Why it's important to say more about menopause"""
